갈비,Galbi,100,item_galbi.png,0,950,8000 ~ 10000 KRW
보쌈,Bossam,200,item_bossam.png,0,1300,10000~12000 KRW
갈비탕,Galbitang,300,item_galbitang.png,0,240,6000 ~ 10000 KRW
물냉면,Mul-naengmyeon,400,item_myun.png,0,400,5000 ~ 12000 KRW
물회,Mulhoe,500,item_moolfish.png,0,200,12000 ~ 15000 KRW
떡볶이,Topokki,600,item_dduk.png,0,1000,2000 ~ 3000 KRW
